Pattern, Support-Frequence
[[[['QuasiPiena_T0_3,QuasiPiena_T0_0,Piena_T0_2,Piena_T0_2'], ['QuasiPiena_T2_2']]], ['0.997755176429797-224457']]
[[[['Piena_T0_3,Piena_T0_3,QuasiPiena_T0_0'], ['QuasiPiena_T2_3']]], ['0.99775468140157-227518']]
[[[['Piena_T0_3,QuasiPiena_T0_0'], ['QuasiPiena_T1_2,QuasiPiena_T1_2'], ['QuasiPiena_T2_2']]], ['0.9977515945927822-252943']]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_2,Piena_T1_2,Piena_T1_1'], ['QuasiPiena_T2_2']]], ['0.997741993814825-215190']]
[[[['QuasiPiena_T0_0,Piena_T0_2,Piena_T0_1'], ['Piena_T1_3'], ['QuasiPiena_T2_3']]], ['0.9976851511992678-203860']]
[[[['QuasiPiena_T0_2,QuasiPiena_T0_0,Piena_T0_2,Piena_T0_1'], ['QuasiPiena_T1_2']]], ['0.9976847066606028-217179']]
[[[['QuasiPiena_T0_0,Piena_T0_2'], ['Piena_T1_3,Piena_T1_1'], ['QuasiPiena_T2_3']]], ['0.9976827542684159-202357']]
[[[['QuasiPiena_T0_0,Piena_T0_2,Piena_T0_2'], ['QuasiPiena_T2_2']]], ['0.9976615890585354-225693']]
[[[['QuasiPiena_T0_0,Piena_T0_1'], ['QuasiPiena_T1_3,Piena_T1_3'], ['QuasiPiena_T2_3']]], ['0.99765463727514-216515']]
[[[['QuasiPiena_T0_0,Piena_T0_1'], ['Piena_T1_3,Piena_T1_2'], ['QuasiPiena_T2_3']]], ['0.9976422955512421-203531']]
[[[['QuasiPiena_T0_3,Piena_T0_3,QuasiPiena_T0_0,Piena_T0_1'], ['QuasiPiena_T1_3']]], ['0.9976388607618241-216755']]
[[[['QuasiPiena_T0_0'], ['Piena_T1_3,Piena_T1_2,Piena_T1_1'], ['QuasiPiena_T2_3']]], ['0.9976273510681853-202246']]
[[[['QuasiPiena_T0_0,Piena_T0_1'], ['QuasiPiena_T1_2,Piena_T1_2'], ['QuasiPiena_T2_2']]], ['0.9976187076537592-216592']]
[[[['Piena_T0_3,QuasiPiena_T0_0,Piena_T0_2,Piena_T0_1'], ['QuasiPiena_T1_3']]], ['0.9976063349079416-204217']]
