Pattern, Support-Frequence
[[[['Vuota_T0_0'], ['Vuota_T1_2,Vuota_T1_1,Vuota_T1_1'], ['Vuota_T2_2']]], ['0.9835446963047831-187142']]
[[[['Vuota_T0_0'], ['Vuota_T1_2,Vuota_T1_1,Vuota_T1_1'], ['Vuota_T2_3']]], ['0.9835341850919468-187140']]
[[[['Vuota_T0_2,Vuota_T0_0'], ['Vuota_T1_1,Vuota_T1_1'], ['Vuota_T2_3']]], ['0.9835181883680693-187015']]
[[[['Vuota_T0_0'], ['Vuota_T1_1,Vuota_T1_1,Vuota_T1_0'], ['Vuota_T2_3']]], ['0.9829900410768639-166317']]
[[[['Vuota_T0_0,Piena_T0_3'], ['Vuota_T1_2,Vuota_T1_2'], ['Vuota_T2_2']]], ['0.9826828572866175-117181']]
[[[['Vuota_T0_0'], ['Vuota_T1_2,Vuota_T1_2,Vuota_T1_1'], ['Vuota_T2_3']]], ['0.9824507686853385-243860']]
[[[['Vuota_T0_0,Piena_T0_2'], ['Vuota_T1_1,Piena_T1_0'], ['Vuota_T2_3']]], ['0.982421875-503']]
[[[['Vuota_T0_0'], ['Vuota_T1_2,Vuota_T1_2,Piena_T1_3'], ['Vuota_T2_2']]], ['0.9823712754020696-118194']]
[[[['Vuota_T0_3,Piena_T0_0'], ['Vuota_T1_3,Vuota_T1_3'], ['Vuota_T2_3']]], ['0.9822946549569687-55813']]
[[[['Vuota_T0_0,Piena_T0_3'], ['Vuota_T1_3,Vuota_T1_1'], ['Vuota_T2_3']]], ['0.9821017060307686-107822']]
[[[['Vuota_T0_0'], ['Vuota_T1_3,Vuota_T1_1,Piena_T1_3'], ['Vuota_T2_3']]], ['0.9819780736241787-108649']]
[[[['Vuota_T0_0,Piena_T0_3'], ['Vuota_T1_3,Vuota_T1_2'], ['Vuota_T2_3']]], ['0.9819630125639617-126849']]
[[[['Vuota_T0_0'], ['Vuota_T1_3,Vuota_T1_2,Piena_T1_3'], ['Vuota_T2_3']]], ['0.9818265611798142-127824']]
[[[['Vuota_T0_0,Piena_T0_0'], ['Piena_T1_3,Piena_T1_3'], ['Piena_T2_3']]], ['0.9818181818181818-972']]
[[[['Piena_T0_0'], ['Vuota_T1_3,Vuota_T1_3,Vuota_T1_2'], ['Vuota_T2_3']]], ['0.9816347476688577-44952']]
[[[['Vuota_T0_2,Vuota_T0_0'], ['Vuota_T1_2,Vuota_T1_1'], ['Vuota_T2_2']]], ['0.9815765444319114-255844']]
[[[['Vuota_T0_0,Vuota_T0_1'], ['Vuota_T1_2,Vuota_T1_0'], ['Vuota_T2_2']]], ['0.9814410033855172-215971']]
[[[['Vuota_T0_0,Vuota_T0_1'], ['Vuota_T1_2,Vuota_T1_2'], ['Vuota_T2_3']]], ['0.9814188188749422-248561']]
[[[['Vuota_T0_0,Vuota_T0_1'], ['Vuota_T1_1,Vuota_T1_1'], ['Vuota_T2_3']]], ['0.9814065187298124-187166']]
[[[['Piena_T0_0'], ['Piena_T1_3,Piena_T1_3,Piena_T1_1'], ['Piena_T2_3']]], ['0.981380806174474-34840']]
[[[['Vuota_T0_0,Piena_T0_3'], ['Vuota_T1_3,Piena_T1_0'], ['Vuota_T2_3']]], ['0.9813519813519813-1263']]
[[[['Vuota_T0_0,Piena_T0_0'], ['Vuota_T1_3,Piena_T1_2'], ['Vuota_T2_3']]], ['0.9811676082862524-1042']]
[[[['Vuota_T0_0,Piena_T0_0'], ['Vuota_T1_3,Vuota_T1_2'], ['Vuota_T2_3']]], ['0.981159420289855-1354']]
[[[['Vuota_T0_0'], ['Vuota_T1_1,Vuota_T1_1'], ['Vuota_T2_3']]], ['0.9810403124951752-190623']]
[[[['Vuota_T0_0'], ['Vuota_T1_2,Vuota_T1_2,Vuota_T1_0'], ['Vuota_T2_3']]], ['0.9810253681644983-228626']]
[[[['Vuota_T0_0,Vuota_T0_1'], ['Vuota_T1_3,Piena_T1_3'], ['Vuota_T2_3']]], ['0.9810055962564763-113417']]
[[[['Vuota_T0_0'], ['Vuota_T1_2,Vuota_T1_1,Vuota_T1_0'], ['Vuota_T2_2']]], ['0.9809160132655877-216805']]
[[[['Vuota_T0_2,Vuota_T0_0'], ['Vuota_T1_3,Piena_T1_3'], ['Vuota_T2_3']]], ['0.980887465274088-129228']]
[[[['Vuota_T0_0'], ['Vuota_T1_3,Piena_T1_3,Piena_T1_0'], ['Vuota_T2_3']]], ['0.9807840122982321-1276']]
[[[['Vuota_T0_2,Vuota_T0_0'], ['Vuota_T1_1,Vuota_T1_1'], ['Vuota_T2_2']]], ['0.9806730511335847-186474']]
[[[['Piena_T0_0,Piena_T0_1'], ['Piena_T1_3,Piena_T1_3'], ['Piena_T2_3']]], ['0.9805744874589554-35537']]
[[[['Vuota_T0_0,Piena_T0_2'], ['Vuota_T1_3,Vuota_T1_2'], ['Vuota_T2_3']]], ['0.9805089538171536-78024']]
[[[['Vuota_T0_0,Vuota_T0_1'], ['Vuota_T1_2,Vuota_T1_1'], ['Vuota_T2_2']]], ['0.980475263759049-246365']]
[[[['Vuota_T0_0'], ['Vuota_T1_1,Vuota_T1_1,Vuota_T1_1'], ['Vuota_T2_1']]], ['0.9804739668241644-106453']]
[[[['Vuota_T0_0'], ['Vuota_T1_3,Vuota_T1_2,Piena_T1_2'], ['Vuota_T2_3']]], ['0.9804698203920983-78718']]
[[[['Vuota_T0_0,Piena_T0_3'], ['Vuota_T1_3,Vuota_T1_0'], ['Vuota_T2_3']]], ['0.9804426636138142-102770']]
[[[['Vuota_T0_3,Vuota_T0_0'], ['Vuota_T1_2,Vuota_T1_1'], ['Vuota_T2_2']]], ['0.980412450463622-254819']]
[[[['Vuota_T0_0'], ['Vuota_T1_3,Vuota_T1_0,Piena_T1_3'], ['Vuota_T2_3']]], ['0.9803531506953128-103490']]
[[[['Vuota_T0_0'], ['Vuota_T1_3,Vuota_T1_2,Piena_T1_0'], ['Vuota_T2_3']]], ['0.9802989130434783-1443']]
[[[['Vuota_T0_0'], ['Vuota_T1_3,Vuota_T1_2,Vuota_T1_1'], ['Vuota_T2_2']]], ['0.9802897814125593-254594']]
[[[['Vuota_T0_3,Vuota_T0_0'], ['Vuota_T1_3,Piena_T1_3'], ['Vuota_T2_3']]], ['0.9802629665183117-134794']]
[[[['Vuota_T0_0,Piena_T0_0'], ['Vuota_T1_3,Piena_T1_3'], ['Vuota_T2_3']]], ['0.9801980198019802-1188']]
[[[['Piena_T0_0'], ['Piena_T1_3,Piena_T1_3,Piena_T1_2'], ['Piena_T2_3']]], ['0.9801810237203495-43967']]
[[[['Vuota_T0_0,Piena_T0_2'], ['Vuota_T1_3,Vuota_T1_1'], ['Vuota_T2_3']]], ['0.9801208311720013-64243']]
[[[['Vuota_T0_0'], ['Vuota_T1_3,Vuota_T1_1,Piena_T1_2'], ['Vuota_T2_3']]], ['0.9801071271414048-64592']]
[[[['Vuota_T0_0,Vuota_T0_1'], ['Vuota_T1_3,Piena_T1_0'], ['Vuota_T2_3']]], ['0.9799691833590138-1272']]
[[[['Piena_T0_2,Piena_T0_0'], ['Piena_T1_3,Piena_T1_3'], ['Piena_T2_3']]], ['0.9799059903317071-43987']]
[[[['Vuota_T0_2,Vuota_T0_0'], ['Vuota_T1_3,Piena_T1_0'], ['Vuota_T2_3']]], ['0.9798657718120806-1606']]
