Pattern, Support-Frequence
[[[['Vuota_T0_0'], ['Piena_T1_3,Piena_T1_3,Piena_T1_0'], ['Piena_T2_3']]], ['0.978866474543708-1019']]
[[[['Piena_T0_0'], ['Vuota_T1_3,Vuota_T1_3,Piena_T1_1'], ['Vuota_T2_3']]], ['0.9786994219653179-33863']]
[[[['Vuota_T0_0,Piena_T0_0'], ['Vuota_T1_2,Vuota_T1_0'], ['Vuota_T2_3']]], ['0.9786096256684492-366']]
[[[['Vuota_T0_3,Vuota_T0_3,Piena_T0_0,Piena_T0_1'], ['Vuota_T1_3']]], ['0.9785931019124238-35154']]
[[[['Vuota_T0_0,Piena_T0_2'], ['Vuota_T1_3,Vuota_T1_0'], ['Vuota_T2_3']]], ['0.9785450100300903-62439']]
[[[['Vuota_T0_3,Piena_T0_0'], ['Piena_T1_3,Piena_T1_3'], ['Piena_T2_3']]], ['0.9785339591385974-42531']]
[[[['Vuota_T0_3,Vuota_T0_3,Piena_T0_2,Piena_T0_0'], ['Vuota_T1_3']]], ['0.9785337657466852-44354']]
[[[['Vuota_T0_3,Vuota_T0_0,Piena_T0_2'], ['Vuota_T1_3'], ['Vuota_T2_3']]], ['0.9785219775113837-84239']]
[[[['Vuota_T0_3,Piena_T0_3,Piena_T0_3,Piena_T0_0'], ['Piena_T1_3']]], ['0.9784992916876114-42825']]
[[[['Vuota_T0_0'], ['Vuota_T1_3,Vuota_T1_0,Piena_T1_2'], ['Vuota_T2_3']]], ['0.9784979841860174-62618']]
[[[['Vuota_T0_0,Piena_T0_3,Piena_T0_0'], ['Vuota_T1_3'], ['Vuota_T2_3']]], ['0.978441127694859-1180']]
[[[['Vuota_T0_3,Vuota_T0_3,Piena_T0_3,Piena_T0_0'], ['Vuota_T1_3']]], ['0.9784174185622908-46195']]
[[[['Piena_T0_0'], ['Vuota_T1_1,Piena_T1_3,Piena_T1_3'], ['Piena_T2_3']]], ['0.978416257883672-13962']]
[[[['Piena_T0_0'], ['Vuota_T1_3,Vuota_T1_3'], ['Vuota_T2_3']]], ['0.9784059745770021-56727']]
[[[['Vuota_T0_1,Piena_T0_0'], ['Piena_T1_3,Piena_T1_3'], ['Piena_T2_3']]], ['0.9783887196202083-13808']]
[[[['Vuota_T0_3,Vuota_T0_0'], ['Vuota_T1_3,Piena_T1_2'], ['Vuota_T2_3']]], ['0.9783177225544073-84917']]
[[[['Piena_T0_0'], ['Vuota_T1_3,Piena_T1_3,Piena_T1_3'], ['Piena_T2_3']]], ['0.9782809611829945-42340']]
[[[['Vuota_T0_3,Piena_T0_0'], ['Vuota_T1_1,Vuota_T1_0'], ['Vuota_T2_3']]], ['0.9782608695652174-1440']]
[[[['Vuota_T0_0,Piena_T0_3'], ['Vuota_T1_3'], ['Vuota_T2_3']]], ['0.9781405764646391-135404']]
[[[['Vuota_T0_0,Piena_T0_2,Piena_T0_0'], ['Vuota_T1_3'], ['Vuota_T2_3']]], ['0.9781021897810219-1072']]
