Pattern, Support-Frequence
[[[['Vuota_T0_0'], ['Vuota_T1_3,Piena_T1_3,Vuota_T1_0'], ['Vuota_T2_3']]], ['0.9978286544925956-219662']]
[[[['Vuota_T0_0,Piena_T0_2'], ['Vuota_T1_3,Piena_T1_1'], ['Vuota_T2_3']]], ['0.9978279410928527-87744']]
[[[['Vuota_T0_0'], ['Vuota_T1_1,Vuota_T1_1,Piena_T1_1'], ['Vuota_T2_3']]], ['0.9978245856353591-86691']]
[[[['Vuota_T0_0'], ['Vuota_T1_3,Vuota_T1_1,Piena_T1_3'], ['Vuota_T2_3']]], ['0.9978205701240798-270123']]
[[[['Piena_T0_3,Vuota_T0_0'], ['Vuota_T1_3,Vuota_T1_2'], ['Vuota_T2_3']]], ['0.9978157846442823-277296']]
[[[['Vuota_T0_0,Piena_T0_2'], ['Vuota_T1_3,Vuota_T1_2'], ['Vuota_T2_3']]], ['0.9978136239981011-218605']]
[[[['Vuota_T0_0,Piena_T0_2'], ['Vuota_T1_3,Vuota_T1_0'], ['Vuota_T2_3']]], ['0.9978122819672907-168756']]
[[[['Vuota_T0_3,Vuota_T0_0'], ['Vuota_T1_3,Piena_T1_1'], ['Vuota_T2_3']]], ['0.9978112577906463-101662']]
[[[['Vuota_T0_0'], ['Vuota_T1_3,Vuota_T1_2,Piena_T1_2'], ['Vuota_T2_3']]], ['0.9978108024635285-219690']]
[[[['Vuota_T0_1,Vuota_T0_0'], ['Vuota_T1_3'], ['Vuota_T2_3']]], ['0.9978085421515582-330105']]
[[[['Vuota_T0_0'], ['Vuota_T1_3,Vuota_T1_1,Piena_T1_2'], ['Vuota_T2_3']]], ['0.9978031469450599-212564']]
[[[['Vuota_T0_3,Vuota_T0_0'], ['Vuota_T1_2,Vuota_T1_0'], ['Vuota_T2_3']]], ['0.9977996927872949-264380']]
[[[['Vuota_T0_0'], ['Vuota_T1_3,Vuota_T1_2,Piena_T1_3'], ['Vuota_T2_3']]], ['0.9977940780860489-278180']]
[[[['Vuota_T0_2,Vuota_T0_0'], ['Vuota_T1_3'], ['Vuota_T2_3']]], ['0.9977829607229322-337539']]
[[[['Vuota_T0_0,Piena_T0_2'], ['Vuota_T1_3,Vuota_T1_1'], ['Vuota_T2_3']]], ['0.9977783123664511-211530']]
[[[['Vuota_T0_3,Vuota_T0_3,Vuota_T0_0'], ['Vuota_T1_3']]], ['0.9977778039751963-338550']]
[[[['Vuota_T0_2,Piena_T0_0'], ['Vuota_T1_1,Vuota_T1_1'], ['Vuota_T2_3']]], ['0.9977762006150934-42176']]
[[[['Vuota_T0_3,Vuota_T0_1,Vuota_T0_0'], ['Vuota_T1_0'], ['Vuota_T2_3']]], ['0.9977755246022353-258810']]
[[[['Vuota_T0_3,Vuota_T0_3,Vuota_T0_0,Piena_T0_1'], ['Vuota_T1_3']]], ['0.9977709530414107-100715']]
[[[['Vuota_T0_3,Vuota_T0_3,Vuota_T0_0,Piena_T0_2'], ['Vuota_T1_3']]], ['0.9977510768533212-220054']]
[[[['Vuota_T0_3,Vuota_T0_2,Vuota_T0_0'], ['Vuota_T1_0'], ['Vuota_T2_3']]], ['0.9977319813275268-264388']]
[[[['Piena_T0_1,Piena_T0_0'], ['Vuota_T1_1,Vuota_T1_1'], ['Vuota_T2_3']]], ['0.9977286110877429-35580']]
[[[['Vuota_T0_0,Piena_T0_1'], ['Vuota_T1_3,Piena_T1_2'], ['Vuota_T2_3']]], ['0.9977281548964541-87395']]
[[[['Vuota_T0_1,Piena_T0_3,Vuota_T0_0'], ['Vuota_T1_3'], ['Vuota_T2_3']]], ['0.9977261076528744-272479']]
[[[['Vuota_T0_1,Vuota_T0_0,Piena_T0_1'], ['Vuota_T1_3'], ['Vuota_T2_3']]], ['0.9977259336592829-96523']]
[[[['Vuota_T0_3,Vuota_T0_0'], ['Vuota_T1_3'], ['Vuota_T2_3']]], ['0.9977224638532973-339505']]
[[[['Vuota_T0_2,Piena_T0_3,Vuota_T0_0'], ['Vuota_T1_3'], ['Vuota_T2_3']]], ['0.9977181810027805-278089']]
[[[['Vuota_T0_3,Vuota_T0_0,Piena_T0_1,Piena_T0_1'], ['Vuota_T1_3']]], ['0.9977171431677356-45890']]
[[[['Vuota_T0_0,Piena_T0_1'], ['Vuota_T1_3,Vuota_T1_0'], ['Vuota_T2_3']]], ['0.9977123642577587-72398']]
[[[['Vuota_T0_3,Vuota_T0_0'], ['Vuota_T1_2,Vuota_T1_2'], ['Vuota_T2_3']]], ['0.9977052393516773-330864']]
[[[['Vuota_T0_2,Vuota_T0_0,Piena_T0_1'], ['Vuota_T1_3'], ['Vuota_T2_3']]], ['0.9977008062108091-100239']]
[[[['Vuota_T0_1,Vuota_T0_0'], ['Vuota_T1_3,Piena_T1_3'], ['Vuota_T2_3']]], ['0.9977005536920713-273349']]
[[[['Vuota_T0_2,Vuota_T0_0'], ['Vuota_T1_3,Piena_T1_2'], ['Vuota_T2_3']]], ['0.9977002231870017-220383']]
[[[['Piena_T0_0'], ['Vuota_T1_3,Vuota_T1_1,Vuota_T1_1'], ['Vuota_T2_3']]], ['0.9976982878079714-42479']]
[[[['Vuota_T0_3,Vuota_T0_3,Vuota_T0_0'], ['Vuota_T1_1'], ['Vuota_T2_3']]], ['0.9976965469732196-324415']]
